date	USD	RUB	BRENT
2008-07-06 00:00:00	120.54	5.12	144.42
2008-07-07 00:00:00	120.54	5.12	141.87
2008-07-08 00:00:00	120.54	5.12	136.43
2008-07-09 00:00:00	120.48	5.13	136.58
2008-07-10 00:00:00	120.38	5.14	142.03
2008-07-11 00:00:00	120.2	5.13	144.49
2008-07-12 00:00:00	120.21	5.15	144.49
2008-07-13 00:00:00	120.21	5.15	144.49
2008-07-14 00:00:00	120.21	5.15	143.92
2008-07-15 00:00:00	120.2	5.17	138.75
2008-07-16 00:00:00	120.06	5.2	136.19
2008-07-17 00:00:00	120.05	5.18	131.07
2008-07-18 00:00:00	120.14	5.17	130.19
2008-07-19 00:00:00	120.19	5.18	130.19
2008-07-20 00:00:00	120.19	5.18	130.19
2008-07-21 00:00:00	120.19	5.18	132.61
2008-07-22 00:00:00	120.2	5.18	129.55
2008-07-23 00:00:00	120.18	5.18	125.29
2008-07-24 00:00:00	120.16	5.15	126.44
2008-07-25 00:00:00	120.19	5.14	124.52
2008-07-26 00:00:00	120.17	5.15	124.52
2008-07-27 00:00:00	120.17	5.15	124.52
2008-07-28 00:00:00	120.17	5.15	125.84
2008-07-29 00:00:00	120.18	5.15	122.71
2008-07-30 00:00:00	120.18	5.15	127.1
2008-07-31 00:00:00	120.19	5.13	123.98
2008-08-01 00:00:00	120.18	5.13	124.18
2008-08-02 00:00:00	120.17	5.12	124.18
2008-08-03 00:00:00	120.17	5.12	124.18
2008-08-04 00:00:00	120.17	5.12	120.68
2008-08-05 00:00:00	120.14	5.14	117.7
2008-08-06 00:00:00	120.11	5.12	117.0
2008-08-07 00:00:00	120.03	5.1	117.86
2008-08-08 00:00:00	120.08	5.09	113.33
2008-08-09 00:00:00	120.06	5.02	113.33
2008-08-10 00:00:00	120.06	5.02	113.33
2008-08-11 00:00:00	120.06	5.02	112.67
2008-08-12 00:00:00	120.14	4.94	111.15
2008-08-13 00:00:00	120.17	4.97	113.47
2008-08-14 00:00:00	120.05	4.97	112.64
2008-08-15 00:00:00	120.15	4.95	112.55
2008-08-16 00:00:00	120.15	4.9	112.55
2008-08-17 00:00:00	120.15	4.9	112.55
2008-08-18 00:00:00	120.15	4.9	111.94
2008-08-19 00:00:00	120.13	4.9	113.25
2008-08-20 00:00:00	120.1	4.89	114.36
2008-08-21 00:00:00	120.0	4.91	120.16
2008-08-22 00:00:00	119.96	4.93	113.92
2008-08-23 00:00:00	119.75	4.93	113.92
2008-08-24 00:00:00	119.75	4.93	113.92
2008-08-25 00:00:00	119.75	4.93	114.03
2008-08-26 00:00:00	119.82	4.91	114.63
2008-08-27 00:00:00	119.84	4.86	116.22
2008-08-28 00:00:00	119.79	4.87	114.17
2008-08-29 00:00:00	119.65	4.87	114.05
2008-08-30 00:00:00	119.54	4.86	114.05
2008-08-31 00:00:00	119.54	4.86	114.05
2008-09-01 00:00:00	119.54	4.86	109.41
2008-09-02 00:00:00	119.54	4.86	108.34
2008-09-03 00:00:00	119.65	4.82	108.06
2008-09-04 00:00:00	119.77	4.76	106.3
2008-09-05 00:00:00	119.69	4.74	104.09
2008-09-06 00:00:00	119.62	4.7	104.09
2008-09-07 00:00:00	119.62	4.7	104.09
2008-09-08 00:00:00	119.62	4.7	103.44
2008-09-09 00:00:00	119.62	4.69	100.34
2008-09-10 00:00:00	119.71	4.68	98.97
2008-09-11 00:00:00	119.61	4.68	97.64
2008-09-12 00:00:00	119.59	4.63	97.58
2008-09-13 00:00:00	119.48	4.67	97.58
2008-09-14 00:00:00	119.48	4.67	97.58
2008-09-15 00:00:00	119.48	4.67	92.38
2008-09-16 00:00:00	119.49	4.69	89.22
2008-09-17 00:00:00	119.48	4.68	94.84
2008-09-18 00:00:00	119.65	4.69	95.19
2008-09-19 00:00:00	119.85	4.72	99.61
2008-09-20 00:00:00	119.8	4.69	99.61
2008-09-21 00:00:00	119.8	4.69	99.61
2008-09-22 00:00:00	119.8	4.69	106.04
2008-09-23 00:00:00	119.72	4.75	103.08
2008-09-24 00:00:00	119.7	4.78	102.45
2008-09-25 00:00:00	119.74	4.78	104.6
2008-09-26 00:00:00	119.78	4.8	103.54
2008-09-27 00:00:00	119.8	4.78	103.54
2008-09-28 00:00:00	119.8	4.78	103.54
2008-09-29 00:00:00	119.8	4.78	93.98
2008-09-30 00:00:00	119.81	4.73	98.17
2008-10-01 00:00:00	119.84	4.72	95.33
2008-10-02 00:00:00	119.97	4.69	90.56
2008-10-03 00:00:00	120.0	4.65	90.25
2008-10-04 00:00:00	119.97	4.63	90.25
2008-10-05 00:00:00	119.97	4.63	90.25
2008-10-06 00:00:00	119.97	4.63	83.68
2008-10-07 00:00:00	119.98	4.59	84.66
2008-10-08 00:00:00	120.04	4.58	84.36
2008-10-09 00:00:00	119.95	4.59	82.66
2008-10-10 00:00:00	119.85	4.61	74.09
2008-10-11 00:00:00	119.85	4.58	74.09
2008-10-12 00:00:00	119.85	4.58	74.09
2008-10-13 00:00:00	119.85	4.58	77.46
2008-10-14 00:00:00	119.85	4.59	74.53
2008-10-15 00:00:00	119.87	4.59	70.8
2008-10-16 00:00:00	119.79	4.58	66.32
2008-10-17 00:00:00	119.74	4.55	69.6
2008-10-18 00:00:00	119.76	4.55	69.6
2008-10-19 00:00:00	119.76	4.55	69.6
2008-10-20 00:00:00	119.76	4.55	72.03
2008-10-21 00:00:00	119.76	4.59	69.72
2008-10-22 00:00:00	119.76	4.52	64.52
2008-10-23 00:00:00	119.79	4.45	65.92
2008-10-24 00:00:00	119.8	4.44	62.05
2008-10-25 00:00:00	119.78	4.39	62.05
2008-10-26 00:00:00	119.78	4.39	62.05
2008-10-27 00:00:00	119.78	4.39	61.41
2008-10-28 00:00:00	119.78	4.39	60.29
2008-10-29 00:00:00	119.82	4.38	65.47
2008-10-30 00:00:00	119.81	4.43	63.71
2008-10-31 00:00:00	119.81	4.51	65.32
2008-11-01 00:00:00	119.84	4.42	65.32
2008-11-02 00:00:00	119.84	4.42	65.32
2008-11-03 00:00:00	119.84	4.42	60.48
2008-11-04 00:00:00	119.94	4.45	66.44
2008-11-05 00:00:00	119.94	4.42	61.87
2008-11-06 00:00:00	119.93	4.46	57.43
2008-11-07 00:00:00	119.8	4.46	57.35
2008-11-08 00:00:00	119.87	4.44	57.35
2008-11-09 00:00:00	119.87	4.44	57.35
2008-11-10 00:00:00	119.87	4.44	59.08
2008-11-11 00:00:00	119.9	4.45	55.71
2008-11-12 00:00:00	120.0	4.4	52.37
2008-11-13 00:00:00	120.05	4.36	51.99
2008-11-14 00:00:00	120.13	4.35	54.24
2008-11-15 00:00:00	120.13	4.39	54.24
2008-11-16 00:00:00	120.13	4.39	54.24
2008-11-17 00:00:00	120.13	4.39	52.31
2008-11-18 00:00:00	120.12	4.4	51.84
2008-11-19 00:00:00	120.1	4.37	51.72
2008-11-20 00:00:00	120.14	4.37	48.08
2008-11-21 00:00:00	120.21	4.36	49.19
2008-11-22 00:00:00	120.24	4.36	49.19
2008-11-23 00:00:00	120.24	4.36	49.19
2008-11-24 00:00:00	120.24	4.36	53.93
2008-11-25 00:00:00	120.16	4.33	50.35
2008-11-26 00:00:00	120.16	4.39	53.92
2008-11-27 00:00:00	120.25	4.41	53.13
2008-11-28 00:00:00	120.35	4.39	53.49
2008-11-29 00:00:00	120.35	4.35	53.49
2008-11-30 00:00:00	120.35	4.35	53.49
2008-12-01 00:00:00	120.35	4.35	47.97
2008-12-02 00:00:00	120.36	4.31	45.44
2008-12-03 00:00:00	120.48	4.3	45.44
2008-12-04 00:00:00	120.45	4.31	42.28
2008-12-05 00:00:00	120.45	4.3	39.74
2008-12-06 00:00:00	120.36	4.29	39.74
2008-12-07 00:00:00	120.36	4.29	39.74
2008-12-08 00:00:00	120.36	4.29	43.42
2008-12-09 00:00:00	120.36	4.29	41.53
2008-12-10 00:00:00	120.44	4.3	42.4
2008-12-11 00:00:00	120.46	4.32	47.39
2008-12-12 00:00:00	120.44	4.31	46.41
2008-12-13 00:00:00	120.5	4.34	46.41
2008-12-14 00:00:00	120.5	4.34	46.41
2008-12-15 00:00:00	120.5	4.34	44.6
2008-12-16 00:00:00	120.6	4.33	44.56
2008-12-17 00:00:00	120.6	4.33	45.53
2008-12-18 00:00:00	120.6	4.33	43.36
2008-12-19 00:00:00	120.65	4.37	44.0
2008-12-20 00:00:00	120.76	4.33	44.0
2008-12-21 00:00:00	120.76	4.33	44.0
2008-12-22 00:00:00	120.76	4.33	41.45
2008-12-23 00:00:00	120.83	4.27	40.36
2008-12-24 00:00:00	120.82	4.26	36.61
2008-12-25 00:00:00	120.7	4.22	36.61
2008-12-26 00:00:00	120.7	4.21	38.37
2008-12-27 00:00:00	120.65	4.16	38.37
2008-12-28 00:00:00	120.65	4.16	38.37
2008-12-29 00:00:00	120.65	4.16	40.55
2008-12-30 00:00:00	120.75	4.13	40.15
2008-12-31 00:00:00	120.77	4.11	45.59
2009-01-01 00:00:00	120.79	4.11	45.59
2009-01-02 00:00:00	120.79	4.11	46.91
2009-01-03 00:00:00	120.79	4.11	46.91
2009-01-04 00:00:00	120.79	4.11	46.91
2009-01-05 00:00:00	120.79	4.11	49.62
2009-01-06 00:00:00	120.86	4.15	50.53
2009-01-07 00:00:00	120.95	4.15	45.86
2009-01-08 00:00:00	120.95	4.15	44.67
2009-01-09 00:00:00	120.99	4.15	44.42
2009-01-10 00:00:00	121.0	4.15	44.42
2009-01-11 00:00:00	121.0	4.15	44.42
2009-01-12 00:00:00	121.0	4.15	42.91
2009-01-13 00:00:00	121.04	3.89	44.83
2009-01-14 00:00:00	121.14	3.88	45.08
2009-01-15 00:00:00	121.26	3.83	44.69
2009-01-16 00:00:00	121.37	3.77	46.57
2009-01-17 00:00:00	121.31	3.72	46.57
2009-01-18 00:00:00	121.31	3.72	46.57
2009-01-19 00:00:00	121.31	3.72	44.5
2009-01-20 00:00:00	121.29	3.68	43.62
2009-01-21 00:00:00	121.3	3.63	45.02
2009-01-22 00:00:00	121.31	3.68	45.39
2009-01-23 00:00:00	121.32	3.7	48.37
2009-01-24 00:00:00	121.6	3.69	48.37
2009-01-25 00:00:00	121.6	3.69	48.37
2009-01-26 00:00:00	121.6	3.69	46.96
2009-01-27 00:00:00	121.65	3.69	43.73
2009-01-28 00:00:00	121.7	3.69	44.9
2009-01-29 00:00:00	121.71	3.66	45.4
2009-01-30 00:00:00	121.56	3.49	45.88
2009-01-31 00:00:00	121.47	3.43	45.88
2009-02-01 00:00:00	121.47	3.43	45.88
2009-02-02 00:00:00	121.47	3.43	43.82
2009-02-03 00:00:00	121.87	3.37	44.08
2009-02-04 00:00:00	122.32	3.38	44.15
2009-02-05 00:00:00	143.98	3.99	46.46
2009-02-06 00:00:00	149.97	4.13	46.21
2009-02-07 00:00:00	149.54	4.12	46.21
2009-02-08 00:00:00	149.54	4.12	46.21
2009-02-09 00:00:00	149.54	4.12	46.02
2009-02-10 00:00:00	148.5	4.1	44.61
2009-02-11 00:00:00	148.3	4.13	44.28
2009-02-12 00:00:00	148.11	4.15	44.65
2009-02-13 00:00:00	148.39	4.27	44.81
2009-02-14 00:00:00	148.9	4.32	44.81
2009-02-15 00:00:00	148.9	4.32	44.81
2009-02-16 00:00:00	148.9	4.32	43.28
2009-02-17 00:00:00	149.11	4.28	41.03
2009-02-18 00:00:00	149.28	4.17	39.55
2009-02-19 00:00:00	149.42	4.1	41.99
2009-02-20 00:00:00	149.0	4.15	41.89
2009-02-21 00:00:00	149.36	4.14	41.89
2009-02-22 00:00:00	149.36	4.14	41.89
2009-02-23 00:00:00	149.36	4.14	40.99
2009-02-24 00:00:00	150.0	4.19	42.5
2009-02-25 00:00:00	150.19	4.18	44.29
2009-02-26 00:00:00	150.0	4.19	46.51
2009-02-27 00:00:00	150.26	4.21	46.35
2009-02-28 00:00:00	150.43	4.21	46.35
2009-03-01 00:00:00	150.43	4.21	46.35
2009-03-02 00:00:00	150.43	4.21	42.21
2009-03-03 00:00:00	150.6	4.16	43.7
2009-03-04 00:00:00	150.54	4.15	46.12
2009-03-05 00:00:00	150.42	4.16	43.64
2009-03-06 00:00:00	150.31	4.18	44.85
2009-03-07 00:00:00	150.49	4.21	44.85
2009-03-08 00:00:00	150.49	4.21	44.85
2009-03-09 00:00:00	150.49	4.21	44.13
2009-03-10 00:00:00	150.49	4.21	43.96
2009-03-11 00:00:00	150.53	4.25	41.4
2009-03-12 00:00:00	150.52	4.29	45.09
2009-03-13 00:00:00	150.48	4.28	44.93
2009-03-14 00:00:00	150.29	4.32	44.93
2009-03-15 00:00:00	150.29	4.32	44.93
2009-03-16 00:00:00	150.29	4.32	43.98
2009-03-17 00:00:00	150.25	4.32	48.24
2009-03-18 00:00:00	150.38	4.35	47.66
2009-03-19 00:00:00	150.58	4.37	50.67
2009-03-20 00:00:00	150.93	4.47	51.22
2009-03-21 00:00:00	151.1	4.52	51.22
2009-03-22 00:00:00	151.1	4.52	51.22
2009-03-23 00:00:00	151.1	4.52	53.47
2009-03-24 00:00:00	151.1	4.52	53.5
2009-03-25 00:00:00	151.31	4.55	51.75
2009-03-26 00:00:00	151.38	4.5	53.46
2009-03-27 00:00:00	151.35	4.52	51.98
2009-03-28 00:00:00	151.35	4.53	51.98
2009-03-29 00:00:00	151.35	4.53	51.98
2009-03-30 00:00:00	151.35	4.53	47.99
2009-03-31 00:00:00	151.4	4.44	49.23
2009-04-01 00:00:00	151.08	4.46	48.44
2009-04-02 00:00:00	150.99	4.44	52.75
2009-04-03 00:00:00	150.98	4.47	53.47
2009-04-04 00:00:00	151.01	4.53	53.47
2009-04-05 00:00:00	151.01	4.53	53.47
2009-04-06 00:00:00	151.01	4.53	52.24
2009-04-07 00:00:00	151.08	4.55	51.22
2009-04-08 00:00:00	0.0	0.0	51.59
2009-04-09 00:00:00	151.0	4.49	54.06
2009-04-10 00:00:00	150.77	4.5	54.06
2009-04-11 00:00:00	150.76	4.49	54.06
2009-04-12 00:00:00	150.76	4.49	54.06
2009-04-13 00:00:00	150.76	4.49	52.14
2009-04-14 00:00:00	150.83	4.51	51.96
2009-04-15 00:00:00	150.66	4.52	51.79
2009-04-16 00:00:00	150.31	4.5	53.06
2009-04-17 00:00:00	150.17	4.49	53.35
2009-04-18 00:00:00	150.15	4.49	53.35
2009-04-19 00:00:00	150.15	4.49	53.35
2009-04-20 00:00:00	150.15	4.49	49.86
2009-04-21 00:00:00	150.33	4.48	49.82
2009-04-22 00:00:00	150.49	4.42	49.81
2009-04-23 00:00:00	150.76	4.43	50.11
2009-04-24 00:00:00	150.59	4.47	51.67
2009-04-25 00:00:00	150.58	4.51	51.67
2009-04-26 00:00:00	150.58	4.51	51.67
2009-04-27 00:00:00	150.58	4.51	50.32
2009-04-28 00:00:00	150.66	4.51	49.99
2009-04-29 00:00:00	150.67	4.49	50.78
2009-04-30 00:00:00	150.72	4.54	50.8
2009-05-01 00:00:00	150.64	4.57	52.85
2009-05-02 00:00:00	150.64	4.57	52.85
2009-05-03 00:00:00	150.64	4.57	52.85
2009-05-04 00:00:00	150.64	4.57	54.58
2009-05-05 00:00:00	150.68	4.57	54.12
2009-05-06 00:00:00	150.66	4.6	56.15
2009-05-07 00:00:00	150.61	4.58	56.47
